ENSG	ENST	ENSP	Gene_name	Length	PredHel	Topology
ENSG00000140157	ENST00000398013	ENSP00000381095	NIPA2	len=360	PredHel=9	Topology=o10-30i57-79o83-105i110-129o149-171i178-200o215-237i246-268o278-299i
ENSG00000140157	ENST00000539711	ENSP00000437746	NIPA2	len=341	PredHel=7	Topology=o10-30i54-76o130-152i159-181o196-218i227-249o259-280i
ENSG00000140157	ENST00000359727	ENSP00000352762	NIPA2	len=341	PredHel=7	Topology=o10-30i54-76o130-152i159-181o196-218i227-249o259-280i
ENSG00000140157	ENST00000560039	ENSP00000453700	NIPA2	len=59	PredHel=1	Topology=o10-30i
ENSG00000140157	ENST00000398014	ENSP00000381096	NIPA2	len=360	PredHel=9	Topology=o10-30i57-79o83-105i110-129o149-171i178-200o215-237i246-268o278-299i
ENSG00000267228	ENST00000588705	ENSP00000465194	IER3IP1	len=82	PredHel=1	Topology=o62-81i
ENSG00000138613	ENST00000560890	ENSP00000453002	APH1B	len=188	PredHel=5	Topology=o15-37i58-80o100-122i135-157o162-184i
ENSG00000138613	ENST00000261879	ENSP00000261879	APH1B	len=257	PredHel=7	Topology=o4-26i33-55o70-91i112-134o154-176i189-211o216-238i
ENSG00000138613	ENST00000380343	ENSP00000369700	APH1B	len=216	PredHel=6	Topology=i5-27o32-54i70-91o115-137i144-163o167-189i
ENSG00000138613	ENST00000380340	ENSP00000369697	APH1B	len=81	PredHel=1	Topology=i5-27o
ENSG00000138613	ENST00000560353	ENSP00000453327	APH1B	len=222	PredHel=4	Topology=o4-26i33-55o70-91i112-134o
ENSG00000134049	ENST00000256433	ENSP00000256433	IER3IP1	len=82	PredHel=1	Topology=o62-81i
ENSG00000128917	ENST00000249749	ENSP00000249749	DLL4	len=685	PredHel=1	Topology=o529-551i
ENSG00000198326	ENST00000361033	ENSP00000354312	TMEM239	len=195	PredHel=3	Topology=i104-126o141-163i165-187o
ENSG00000198326	ENST00000380585	ENSP00000369959	TMEM239	len=152	PredHel=3	Topology=i61-83o98-120i122-144o
ENSG00000188394	ENST00000373642	ENSP00000362746	GPR21	len=349	PredHel=7	Topology=o32-54i66-88o103-125i146-168o193-215i252-274o284-306i
ENSG00000175387	ENST00000591214	ENSP00000467075	SMAD2	len=431	PredHel=1	Topology=o405-427i
ENSG00000104043	ENST00000558498	ENSP00000452663	ATP8B4	len=283	PredHel=4	Topology=i47-69o84-103i115-137o157-179i
ENSG00000104043	ENST00000559726	ENSP00000453229	ATP8B4	len=122	PredHel=1	Topology=i59-81o
ENSG00000104043	ENST00000559829	ENSP00000453169	ATP8B4	len=1192	PredHel=9	Topology=o74-93i276-298o324-346i872-891o906-925i956-978o993-1012i1024-1046o1066-1088i
ENSG00000104043	ENST00000560479	ENSP00000453070	ATP8B4	len=495	PredHel=6	Topology=i175-194o209-228i259-281o296-315i327-349o369-391i
ENSG00000104043	ENST00000557955	ENSP00000453690	ATP8B4	len=717	PredHel=3	Topology=i59-81o276-298i319-341o
ENSG00000104043	ENST00000558906	ENSP00000452956	ATP8B4	len=122	PredHel=1	Topology=i59-81o
ENSG00000104043	ENST00000558024	ENSP00000453143	ATP8B4	len=95	PredHel=1	Topology=o20-39i
ENSG00000104043	ENST00000284509	ENSP00000284509	ATP8B4	len=1192	PredHel=9	Topology=o74-93i276-298o324-346i872-891o906-925i956-978o993-1012i1024-1046o1066-1088i
ENSG00000182511	ENST00000470152	ENSP00000454146	FES	len=121	PredHel=1	Topology=o74-96i
ENSG00000170113	ENST00000337435	ENSP00000337452	NIPA1	len=329	PredHel=8	Topology=o26-48i60-82o92-114i121-140o160-182i226-248o258-280i287-309o
ENSG00000170113	ENST00000437912	ENSP00000393962	NIPA1	len=254	PredHel=7	Topology=i7-29o44-63i84-106o116-138i151-173o183-205i212-234o
ENSG00000170113	ENST00000559448	ENSP00000453286	NIPA1	len=90	PredHel=2	Topology=i24-43o48-70i
ENSG00000170113	ENST00000561183	ENSP00000453722	NIPA1	len=254	PredHel=7	Topology=i7-29o44-63i84-106o116-138i151-173o183-205i212-234o
ENSG00000170113	ENST00000557930	ENSP00000453797	NIPA1	len=58	PredHel=1	Topology=i29-51o
ENSG00000170113	ENST00000560069	ENSP00000453237	NIPA1	len=35	PredHel=1	Topology=o10-32i
ENSG00000170113	ENST00000538684	ENSP00000440957	NIPA1	len=159	PredHel=4	Topology=o5-27i56-78o88-110i117-139o
ENSG00000074410	ENST00000178638	ENSP00000178638	CA12	len=354	PredHel=1	Topology=o305-327i
ENSG00000074410	ENST00000344366	ENSP00000343088	CA12	len=343	PredHel=1	Topology=o294-316i
ENSG00000074410	ENST00000422263	ENSP00000403028	CA12	len=283	PredHel=1	Topology=o234-256i
ENSG00000148204	ENST00000359999	ENSP00000353092	CRB2	len=1176	PredHel=1	Topology=i13-35o
ENSG00000148204	ENST00000373631	ENSP00000362734	CRB2	len=1285	PredHel=2	Topology=i13-35o1225-1247i
ENSG00000148204	ENST00000460253	ENSP00000435279	CRB2	len=953	PredHel=1	Topology=o893-915i
ENSG00000148204	ENST00000373629	ENSP00000362732	CRB2	len=953	PredHel=1	Topology=o893-915i
ENSG00000142192	ENST00000346798	ENSP00000284981	APP	len=770	PredHel=1	Topology=o701-723i
ENSG00000142192	ENST00000354192	ENSP00000346129	APP	len=639	PredHel=1	Topology=o570-592i
ENSG00000142192	ENST00000348990	ENSP00000345463	APP	len=695	PredHel=1	Topology=o626-648i
ENSG00000142192	ENST00000357903	ENSP00000350578	APP	len=751	PredHel=1	Topology=o682-704i
ENSG00000142192	ENST00000440126	ENSP00000387483	APP	len=746	PredHel=1	Topology=o677-699i
ENSG00000142192	ENST00000439274	ENSP00000398879	APP	len=714	PredHel=1	Topology=o645-667i
ENSG00000142192	ENST00000358918	ENSP00000351796	APP	len=752	PredHel=1	Topology=o683-705i
ENSG00000142192	ENST00000359726	ENSP00000352760	APP	len=714	PredHel=1	Topology=o645-667i
ENSG00000142192	ENST00000448388	ENSP00000388538	APP	len=660	PredHel=1	Topology=o591-613i
ENSG00000140284	ENST00000267842	ENSP00000267842	SLC27A2	len=620	PredHel=3	Topology=i5-27o116-138i266-288o
ENSG00000140284	ENST00000380902	ENSP00000370289	SLC27A2	len=567	PredHel=1	Topology=i5-27o
ENSG00000140284	ENST00000544960	ENSP00000444549	SLC27A2	len=385	PredHel=1	Topology=i31-53o
ENSG00000166265	ENST00000299340	ENSP00000299340	CYYR1	len=154	PredHel=1	Topology=o63-85i
ENSG00000166265	ENST00000400043	ENSP00000382918	CYYR1	len=132	PredHel=1	Topology=o63-85i
ENSG00000132958	ENST00000382978	ENSP00000372438	TPTE2	len=482	PredHel=3	Topology=i70-92o107-129i136-153o
ENSG00000132958	ENST00000390680	ENSP00000375098	TPTE2	len=445	PredHel=3	Topology=i41-60o70-92i99-116o
ENSG00000132958	ENST00000400230	ENSP00000383089	TPTE2	len=522	PredHel=3	Topology=i71-93o108-130i139-161o
ENSG00000132958	ENST00000255310	ENSP00000255310	TPTE2	len=445	PredHel=3	Topology=i41-60o70-92i99-116o
ENSG00000132958	ENST00000382977	ENSP00000372437	TPTE2	len=522	PredHel=3	Topology=i71-93o108-130i139-161o
ENSG00000132958	ENST00000382975	ENSP00000372435	TPTE2	len=482	PredHel=3	Topology=i70-92o107-129i136-153o
ENSG00000154734	ENST00000451462	ENSP00000403404	ADAMTS1	len=200	PredHel=1	Topology=i5-27o
ENSG00000196547	ENST00000558290	ENSP00000453740	MAN2A2	len=72	PredHel=1	Topology=i7-26o
ENSG00000196547	ENST00000558853	ENSP00000452691	MAN2A2	len=50	PredHel=1	Topology=i7-26o
ENSG00000196547	ENST00000559999	ENSP00000453078	MAN2A2	len=120	PredHel=1	Topology=i7-26o
ENSG00000196547	ENST00000560451	ENSP00000453999	MAN2A2	len=938	PredHel=1	Topology=i7-26o
ENSG00000196547	ENST00000558161	ENSP00000452631	MAN2A2	len=796	PredHel=1	Topology=i7-26o
ENSG00000196547	ENST00000559717	ENSP00000452948	MAN2A2	len=1150	PredHel=1	Topology=i7-26o
ENSG00000196547	ENST00000559965	ENSP00000453956	MAN2A2	len=76	PredHel=1	Topology=i7-26o
ENSG00000196547	ENST00000360468	ENSP00000353655	MAN2A2	len=1150	PredHel=1	Topology=i7-26o
ENSG00000173253	ENST00000382255	ENSP00000371690	DMRT2	len=226	PredHel=1	Topology=i201-223o
ENSG00000173253	ENST00000412350	ENSP00000397494	DMRT2	len=226	PredHel=1	Topology=i201-223o
ENSG00000173253	ENST00000259622	ENSP00000259622	DMRT2	len=226	PredHel=1	Topology=i201-223o
ENSG00000180264	ENST00000334810	ENSP00000335156	GPR144	len=963	PredHel=5	Topology=o660-682i719-741o802-824i859-878o882-904i
ENSG00000132670	ENST00000380393	ENSP00000369756	PTPRA	len=802	PredHel=2	Topology=o4-26i152-174o
ENSG00000132670	ENST00000455631	ENSP00000414089	PTPRA	len=253	PredHel=1	Topology=o144-166i
ENSG00000132670	ENST00000216877	ENSP00000216877	PTPRA	len=793	PredHel=2	Topology=o4-26i143-165o
ENSG00000132670	ENST00000430705	ENSP00000394132	PTPRA	len=175	PredHel=2	Topology=o4-26i152-174o
ENSG00000132670	ENST00000318266	ENSP00000314568	PTPRA	len=793	PredHel=2	Topology=o4-26i143-165o
ENSG00000132670	ENST00000425918	ENSP00000393553	PTPRA	len=813	PredHel=2	Topology=o15-37i163-185o
ENSG00000132670	ENST00000399903	ENSP00000382787	PTPRA	len=802	PredHel=2	Topology=o4-26i152-174o
ENSG00000132670	ENST00000356147	ENSP00000348468	PTPRA	len=793	PredHel=2	Topology=o4-26i143-165o
ENSG00000132670	ENST00000358719	ENSP00000351559	PTPRA	len=658	PredHel=1	Topology=i2-20o
ENSG00000124215	ENST00000348616	ENSP00000339390	CDH26	len=832	PredHel=1	Topology=o614-636i
ENSG00000124215	ENST00000370991	ENSP00000360030	CDH26	len=444	PredHel=1	Topology=o206-228i
ENSG00000124215	ENST00000244047	ENSP00000244047	CDH26	len=852	PredHel=1	Topology=o614-636i
ENSG00000179242	ENST00000360469	ENSP00000353656	CDH4	len=916	PredHel=1	Topology=o733-755i
ENSG00000179242	ENST00000543233	ENSP00000443301	CDH4	len=842	PredHel=1	Topology=o659-681i
ENSG00000253426	ENST00000517816	ENSP00000429510	RP11-10A14.4	len=54	PredHel=1	Topology=i20-42o
ENSG00000253426	ENST00000521718	ENSP00000429186	RP11-10A14.4	len=54	PredHel=1	Topology=i20-42o
ENSG00000158201	ENST00000289119	ENSP00000289119	ABHD3	len=409	PredHel=1	Topology=i26-48o
ENSG00000158201	ENST00000580981	ENSP00000462935	ABHD3	len=356	PredHel=1	Topology=i26-48o
ENSG00000158201	ENST00000577891	ENSP00000463365	ABHD3	len=136	PredHel=1	Topology=o27-49i
ENSG00000121743	ENST00000241125	ENSP00000241125	GJA3	len=435	PredHel=4	Topology=i20-42o77-99i148-170o201-223i
ENSG00000165474	ENST00000382848	ENSP00000372299	GJB2	len=226	PredHel=4	Topology=i21-40o76-98i132-154o193-215i
ENSG00000165474	ENST00000382844	ENSP00000372295	GJB2	len=226	PredHel=4	Topology=i21-40o76-98i132-154o193-215i
ENSG00000121742	ENST00000241124	ENSP00000241124	GJB6	len=261	PredHel=4	Topology=i23-45o76-98i132-154o193-215i
ENSG00000121742	ENST00000400066	ENSP00000382939	GJB6	len=261	PredHel=4	Topology=i23-45o76-98i132-154o193-215i
ENSG00000121742	ENST00000400065	ENSP00000382938	GJB6	len=261	PredHel=4	Topology=i23-45o76-98i132-154o193-215i
ENSG00000121742	ENST00000356192	ENSP00000348521	GJB6	len=261	PredHel=4	Topology=i23-45o76-98i132-154o193-215i
ENSG00000147852	ENST00000382100	ENSP00000371532	VLDLR	len=873	PredHel=1	Topology=o797-819i
ENSG00000147852	ENST00000382099	ENSP00000371531	VLDLR	len=845	PredHel=1	Topology=o769-791i
ENSG00000035664	ENST00000561162	ENSP00000453284	DAPK2	len=88	PredHel=1	Topology=o36-58i
ENSG00000099958	ENST00000406855	ENSP00000384744	DERL3	len=239	PredHel=4	Topology=o15-37i57-79o99-121i142-164o
ENSG00000099958	ENST00000318109	ENSP00000315303	DERL3	len=235	PredHel=4	Topology=o15-37i57-79o99-121i142-164o
ENSG00000099958	ENST00000476077	ENSP00000419399	DERL3	len=205	PredHel=4	Topology=o15-37i57-79o99-121i142-164o
ENSG00000168263	ENST00000382082	ENSP00000371514	KCNV2	len=545	PredHel=3	Topology=o257-279i411-433o472-494i
ENSG00000147535	ENST00000529359	ENSP00000434916	PPAPDC1B	len=223	PredHel=5	Topology=o20-37i49-71o106-128i141-158o168-187i
ENSG00000147535	ENST00000424479	ENSP00000392553	PPAPDC1B	len=264	PredHel=6	Topology=i5-27o59-78i90-112o147-169i182-199o209-228i
ENSG00000147535	ENST00000524616	ENSP00000432122	PPAPDC1B	len=245	PredHel=5	Topology=o4-26i70-92o128-150i163-180o190-209i
ENSG00000147535	ENST00000531823	ENSP00000437248	PPAPDC1B	len=132	PredHel=3	Topology=o15-37i50-67o77-96i
ENSG00000147535	ENST00000534339	ENSP00000431771	PPAPDC1B	len=244	PredHel=5	Topology=i12-31o53-72i84-106o163-180i193-212o
ENSG00000147535	ENST00000422581	ENSP00000390622	PPAPDC1B	len=216	PredHel=5	Topology=i5-27o59-78i90-112o147-169i182-204o
ENSG00000147535	ENST00000419686	ENSP00000414522	PPAPDC1B	len=176	PredHel=3	Topology=i5-27o59-78i90-112o
ENSG00000102100	ENST00000247138	ENSP00000247138	SLC35A2	len=396	PredHel=8	Topology=i37-56o66-88i169-187o202-224i231-253o268-289i296-318o323-340i
ENSG00000102100	ENST00000376529	ENSP00000365712	SLC35A2	len=224	PredHel=2	Topology=i37-56o66-88i
ENSG00000102100	ENST00000376521	ENSP00000365704	SLC35A2	len=393	PredHel=8	Topology=i37-56o66-88i169-187o202-224i231-253o268-289i296-318o323-340i
ENSG00000102100	ENST00000445167	ENSP00000402726	SLC35A2	len=242	PredHel=2	Topology=i37-56o66-88i
ENSG00000102100	ENST00000376515	ENSP00000365698	SLC35A2	len=218	PredHel=2	Topology=i13-32o42-64i
ENSG00000102100	ENST00000376512	ENSP00000365695	SLC35A2	len=163	PredHel=2	Topology=i37-56o66-88i
ENSG00000102100	ENST00000413561	ENSP00000393233	SLC35A2	len=332	PredHel=7	Topology=o77-99i106-125o140-162i169-191o206-228i235-257o262-279i
ENSG00000102100	ENST00000452555	ENSP00000416002	SLC35A2	len=421	PredHel=8	Topology=i65-84o94-116i197-215o230-252i259-281o296-317i324-346o351-368i
ENSG00000124225	ENST00000341744	ENSP00000345826	PMEPA1	len=287	PredHel=1	Topology=o41-63i
ENSG00000124225	ENST00000347215	ENSP00000344014	PMEPA1	len=252	PredHel=1	Topology=o6-28i
ENSG00000124225	ENST00000414037	ENSP00000401506	PMEPA1	len=208	PredHel=1	Topology=o15-37i
ENSG00000124225	ENST00000395819	ENSP00000379164	PMEPA1	len=227	PredHel=1	Topology=o98-120i
ENSG00000133460	ENST00000345044	ENSP00000342542	SLC2A11	len=496	PredHel=10	Topology=i13-35o63-85i97-114o124-141i154-176o310-332i339-361o376-395i408-430o435-457i
ENSG00000133460	ENST00000403208	ENSP00000385949	SLC2A11	len=104	PredHel=2	Topology=i13-35o70-92i
ENSG00000133460	ENST00000398356	ENSP00000381399	SLC2A11	len=503	PredHel=10	Topology=i20-42o70-92i104-121o131-148i161-183o317-339i346-368o383-402i415-437o442-464i
ENSG00000133460	ENST00000405847	ENSP00000384987	SLC2A11	len=179	PredHel=4	Topology=i13-35o63-85i98-115o156-178i
ENSG00000133460	ENST00000255830	ENSP00000255830	SLC2A11	len=98	PredHel=2	Topology=i13-35o63-85i
ENSG00000133460	ENST00000423972	ENSP00000403654	SLC2A11	len=105	PredHel=2	Topology=i20-42o70-92i
ENSG00000133460	ENST00000418102	ENSP00000398439	SLC2A11	len=48	PredHel=1	Topology=i20-42o
ENSG00000133460	ENST00000436643	ENSP00000398746	SLC2A11	len=113	PredHel=2	Topology=o15-37i73-95o
ENSG00000133460	ENST00000405340	ENSP00000385156	SLC2A11	len=222	PredHel=4	Topology=i13-35o63-85i98-115o156-178i
ENSG00000133460	ENST00000316185	ENSP00000326748	SLC2A11	len=499	PredHel=10	Topology=i13-35o66-88i100-117o127-144i157-179o313-335i342-364o379-398i411-433o438-460i
ENSG00000092439	ENST00000560955	ENSP00000453277	TRPM7	len=1864	PredHel=6	Topology=o757-774i853-875o923-945i958-977o992-1014i1079-1101o
ENSG00000092439	ENST00000313478	ENSP00000320239	TRPM7	len=1865	PredHel=6	Topology=o757-774i853-875o923-945i958-977o992-1014i1079-1101o
ENSG00000092439	ENST00000560638	ENSP00000452873	TRPM7	len=535	PredHel=4	Topology=o294-311i390-412o460-482i495-514o
ENSG00000169762	ENST00000405303	ENSP00000385347	TAPT1	len=567	PredHel=5	Topology=o122-144i157-179o236-258i397-419o429-451i
ENSG00000169762	ENST00000513782	ENSP00000423359	TAPT1	len=212	PredHel=1	Topology=o4-26i
ENSG00000169762	ENST00000513833	ENSP00000422752	TAPT1	len=51	PredHel=1	Topology=i13-35o
ENSG00000169762	ENST00000399920	ENSP00000382803	TAPT1	len=456	PredHel=5	Topology=o11-33i46-68o125-147i286-308o318-340i
ENSG00000114062	ENST00000604860	ENSP00000473822	UBE3A	len=179	PredHel=1	Topology=i5-27o
ENSG00000251357	ENST00000433835	ENSP00000400325	AP000350.10	len=209	PredHel=3	Topology=o28-50i63-80o121-143i
ENSG00000187954	ENST00000403000	ENSP00000385962	CYHR1	len=192	PredHel=3	Topology=o62-84i91-108o113-135i
ENSG00000187954	ENST00000424149	ENSP00000414647	CYHR1	len=192	PredHel=3	Topology=o62-84i91-108o113-135i
ENSG00000187954	ENST00000306145	ENSP00000304826	CYHR1	len=192	PredHel=3	Topology=o62-84i91-108o113-135i
ENSG00000187954	ENST00000533764	ENSP00000432902	CYHR1	len=143	PredHel=3	Topology=o62-84i91-108o118-140i
ENSG00000062524	ENST00000355166	ENSP00000347293	LTK	len=803	PredHel=1	Topology=o365-387i
ENSG00000062524	ENST00000263800	ENSP00000263800	LTK	len=864	PredHel=1	Topology=o426-448i
ENSG00000062524	ENST00000561619	ENSP00000458111	LTK	len=562	PredHel=1	Topology=i108-130o
ENSG00000212710	ENST00000525417	ENSP00000436900	CTAGE1	len=74	PredHel=2	Topology=i7-29o44-66i
ENSG00000212710	ENST00000391403	ENSP00000375220	CTAGE1	len=745	PredHel=1	Topology=i13-30o
ENSG00000171189	ENST00000327783	ENSP00000327687	GRIK1	len=949	PredHel=3	Topology=o578-597i654-676o837-859i
ENSG00000171189	ENST00000389125	ENSP00000373777	GRIK1	len=905	PredHel=3	Topology=o563-582i639-661o822-844i
ENSG00000171189	ENST00000399913	ENSP00000382797	GRIK1	len=920	PredHel=3	Topology=o578-597i654-676o837-859i
ENSG00000171189	ENST00000399914	ENSP00000382798	GRIK1	len=934	PredHel=3	Topology=o563-582i639-661o822-844i
ENSG00000171189	ENST00000389124	ENSP00000373776	GRIK1	len=871	PredHel=3	Topology=o578-597i654-676o837-859i
ENSG00000171189	ENST00000399907	ENSP00000382791	GRIK1	len=918	PredHel=3	Topology=o578-597i654-676o837-859i
ENSG00000171189	ENST00000399909	ENSP00000382793	GRIK1	len=903	PredHel=3	Topology=o563-582i639-661o822-844i
ENSG00000171189	ENST00000535441	ENSP00000446326	GRIK1	len=922	PredHel=3	Topology=o580-599i656-678o839-861i
ENSG00000171189	ENST00000309434	ENSP00000311646	GRIK1	len=920	PredHel=3	Topology=o580-599i656-678o839-861i
ENSG00000106688	ENST00000262352	ENSP00000262352	SLC1A1	len=524	PredHel=8	Topology=i19-38o58-82i94-116o204-226i250-272o287-309i357-379o389-411i
ENSG00000106688	ENST00000422398	ENSP00000414620	SLC1A1	len=242	PredHel=2	Topology=i13-35o50-72i
ENSG00000138600	ENST00000261854	ENSP00000261854	SPPL2A	len=520	PredHel=9	Topology=o170-192i218-240o244-266i287-306o311-328i340-362o400-422i435-457o462-481i
ENSG00000138600	ENST00000558934	ENSP00000453927	SPPL2A	len=356	PredHel=8	Topology=i36-58o62-84i105-124o129-146i158-180o236-258i271-293o298-317i
ENSG00000138600	ENST00000558414	ENSP00000453932	SPPL2A	len=149	PredHel=1	Topology=o126-148i
ENSG00000156282	ENST00000286808	ENSP00000286808	CLDN17	len=224	PredHel=4	Topology=i5-27o80-102i123-145o165-187i
ENSG00000156284	ENST00000399899	ENSP00000382783	CLDN8	len=225	PredHel=4	Topology=i5-27o80-102i123-145o165-187i
ENSG00000156284	ENST00000286809	ENSP00000286809	CLDN8	len=225	PredHel=4	Topology=i5-27o80-102i123-145o165-187i
ENSG00000171044	ENST00000382461	ENSP00000371900	XKR6	len=418	PredHel=5	Topology=o137-159i161-183o193-210i217-239o249-271i
ENSG00000171044	ENST00000416569	ENSP00000416707	XKR6	len=641	PredHel=6	Topology=i130-149o159-181i372-401o416-433i440-462o472-494i
ENSG00000171044	ENST00000297303	ENSP00000297303	XKR6	len=287	PredHel=2	Topology=i130-149o159-181i
ENSG00000171044	ENST00000304437	ENSP00000307120	XKR6	len=362	PredHel=4	Topology=i93-122o137-154i161-183o193-215i
ENSG00000170006	ENST00000304385	ENSP00000302144	TMEM154	len=183	PredHel=2	Topology=i7-24o76-98i
ENSG00000170006	ENST00000504064	ENSP00000422156	TMEM154	len=125	PredHel=2	Topology=i7-24o76-98i
ENSG00000180776	ENST00000400590	ENSP00000383433	ZDHHC20	len=365	PredHel=4	Topology=i13-32o52-74i171-193o208-230i
